Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
14.568559,3.93E-05,8.80E-05,18.92412386,-5.54E-06,-5.04E-06,-2.35E-05,0,5.21E-05
14.75779886,3.92E-05,8.80E-05,18.92384875,-5.54E-06,-5.08E-06,-2.35E-05,0,5.25E-05
14.94703599,3.92E-05,8.80E-05,18.92357828,-5.53E-06,-5.11E-06,-2.35E-05,0,5.29E-05
15.13627044,3.91E-05,8.80E-05,18.92331255,-5.52E-06,-5.15E-06,-2.35E-05,0,5.32E-05
15.32550226,3.89E-05,8.80E-05,18.92305163,-5.51E-06,-5.18E-06,-2.34E-05,0,5.36E-05
15.51473149,3.88E-05,8.80E-05,18.92279551,-5.51E-06,-5.21E-06,-2.34E-05,0,5.39E-05
15.70395819,3.87E-05,8.79E-05,18.92254408,-5.50E-06,-5.24E-06,-2.33E-05,0,5.42E-05
15.89318239,3.86E-05,8.79E-05,18.92229727,-5.49E-06,-5.26E-06,-2.33E-05,0,5.45E-05
16.08240415,3.85E-05,8.78E-05,18.92205505,-5.48E-06,-5.29E-06,-2.32E-05,0,5.48E-05
16.27162351,3.83E-05,8.77E-05,18.92181743,-5.47E-06,-5.32E-06,-2.31E-05,0,5.51E-05
16.46084051,3.82E-05,8.76E-05,18.92158447,-5.46E-06,-5.34E-06,-2.30E-05,0,5.54E-05
16.65005521,3.80E-05,8.75E-05,18.92135614,-5.45E-06,-5.36E-06,-2.29E-05,0,5.57E-05
16.83926765,3.79E-05,8.74E-05,18.9211324,-5.44E-06,-5.38E-06,-2.28E-05,0,5.60E-05
17.02847787,3.77E-05,8.74E-05,18.92091319,-5.43E-06,-5.41E-06,-2.27E-05,0,5.63E-05
17.21768593,3.76E-05,8.73E-05,18.92069847,-5.42E-06,-5.43E-06,-2.26E-05,0,5.66E-05
17.40689186,3.74E-05,8.72E-05,18.92048823,-5.41E-06,-5.44E-06,-2.25E-05,0,5.69E-05
17.59609571,3.72E-05,8.71E-05,18.92028248,-5.40E-06,-5.46E-06,-2.23E-05,0,5.72E-05
17.78529752,3.71E-05,8.70E-05,18.92008121,-5.39E-06,-5.48E-06,-2.22E-05,0,5.75E-05
17.97449735,3.69E-05,8.70E-05,18.91988438,-5.38E-06,-5.50E-06,-2.21E-05,0,5.78E-05
18.16369522,3.67E-05,8.69E-05,18.91969195,-5.37E-06,-5.51E-06,-2.19E-05,0,5.81E-05
18.3528912,3.65E-05,8.68E-05,18.91950389,-5.36E-06,-5.53E-06,-2.18E-05,0,5.85E-05
18.54208532,3.63E-05,8.68E-05,18.91932016,-5.35E-06,-5.55E-06,-2.16E-05,0,5.88E-05
18.73127762,3.62E-05,8.67E-05,18.91914076,-5.34E-06,-5.56E-06,-2.15E-05,0,5.91E-05
18.92046815,3.60E-05,8.67E-05,18.91896566,-5.33E-06,-5.58E-06,-2.13E-05,0,5.95E-05
19.10965694,3.58E-05,8.67E-05,18.91879485,-5.32E-06,-5.59E-06,-2.11E-05,0,5.99E-05
19.29884406,3.56E-05,8.66E-05,18.91862828,-5.31E-06,-5.60E-06,-2.09E-05,0,6.02E-05
19.48802952,3.54E-05,8.66E-05,18.91846592,-5.30E-06,-5.62E-06,-2.08E-05,0,6.06E-05
19.67721339,3.51E-05,8.66E-05,18.91830774,-5.29E-06,-5.63E-06,-2.06E-05,0,6.09E-05
19.86639569,3.49E-05,8.66E-05,18.91815372,-5.28E-06,-5.64E-06,-2.04E-05,0,6.13E-05
20.05557648,3.47E-05,8.66E-05,18.91800384,-5.27E-06,-5.65E-06,-2.02E-05,0,6.17E-05
20.24475578,3.45E-05,8.66E-05,18.91785806,-5.26E-06,-5.66E-06,-2.00E-05,0,6.20E-05
20.43393365,3.43E-05,8.66E-05,18.91771637,-5.26E-06,-5.67E-06,-1.98E-05,0,6.24E-05
20.62311012,3.41E-05,8.66E-05,18.91757872,-5.25E-06,-5.68E-06,-1.96E-05,0,6.28E-05
20.81228524,3.39E-05,8.66E-05,18.91744508,-5.24E-06,-5.69E-06,-1.94E-05,0,6.31E-05
21.00145904,3.36E-05,8.66E-05,18.91731544,-5.23E-06,-5.70E-06,-1.92E-05,0,6.35E-05
21.19063156,3.34E-05,8.66E-05,18.91718976,-5.23E-06,-5.71E-06,-1.90E-05,0,6.38E-05
21.37980285,3.32E-05,8.66E-05,18.91706803,-5.22E-06,-5.72E-06,-1.88E-05,0,6.42E-05
21.56897293,3.30E-05,8.66E-05,18.9169502,-5.21E-06,-5.72E-06,-1.86E-05,0,6.45E-05
21.75814186,3.27E-05,8.67E-05,18.91683626,-5.20E-06,-5.73E-06,-1.84E-05,0,6.48E-05
21.94730967,3.25E-05,8.67E-05,18.91672617,-5.20E-06,-5.74E-06,-1.82E-05,0,6.52E-05
22.1364764,3.23E-05,8.67E-05,18.91661991,-5.19E-06,-5.74E-06,-1.80E-05,0,6.55E-05
22.32564208,3.21E-05,8.67E-05,18.91651745,-5.18E-06,-5.75E-06,-1.78E-05,0,6.58E-05
22.51480676,3.18E-05,8.67E-05,18.91641876,-5.18E-06,-5.75E-06,-1.76E-05,0,6.61E-05
22.70397047,3.16E-05,8.67E-05,18.91632383,-5.17E-06,-5.75E-06,-1.73E-05,0,6.64E-05
22.89313325,3.14E-05,8.67E-05,18.91623262,-5.16E-06,-5.75E-06,-1.71E-05,0,6.67E-05
23.08229514,3.12E-05,8.68E-05,18.91614511,-5.16E-06,-5.76E-06,-1.69E-05,0,6.69E-05
23.27145616,3.09E-05,8.68E-05,18.91606127,-5.15E-06,-5.76E-06,-1.67E-05,0,6.72E-05
23.46061637,3.07E-05,8.68E-05,18.91598107,-5.14E-06,-5.76E-06,-1.64E-05,0,6.75E-05
