time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering,driver_demands.throttle
0.56,9.457874312,3.88801E-05,8.27041E-05,18.93340346,-5.48076E-06,-3.68248E-06,-2.06104E-05,0,3.49438E-05,12.2673277
0.57,9.647206307,3.89972E-05,8.25193E-05,18.93299655,-5.47789E-06,-3.71557E-06,-2.07855E-05,0,3.50369E-05,12.28184315
0.58,9.836534258,3.91062E-05,8.24217E-05,18.93259419,-5.47638E-06,-3.753E-06,-2.09601E-05,0,3.52667E-05,12.29622926
0.59,10.0258582,3.92072E-05,8.24041E-05,18.93219459,-5.47616E-06,-3.79438E-06,-2.11337E-05,0,3.56183E-05,12.31054337
0.6,10.21517816,3.93003E-05,8.24589E-05,18.93179847,-5.47716E-06,-3.83931E-06,-2.13058E-05,0,3.60768E-05,12.32481122
0.61,10.40449419,3.93854E-05,8.25778E-05,18.93140788,-5.4793E-06,-3.8874E-06,-2.14757E-05,0,3.66284E-05,12.33901188
0.62,10.59380634,3.94626E-05,8.27528E-05,18.93102417,-5.4825E-06,-3.93824E-06,-2.16428E-05,0,3.726E-05,12.35310491
0.63,10.78311469,3.9532E-05,8.29755E-05,18.93064698,-5.48664E-06,-3.9914E-06,-2.18064E-05,0,3.79583E-05,12.36706841
0.64,10.9724193,3.95935E-05,8.32381E-05,18.93027486,-5.49159E-06,-4.04647E-06,-2.1966E-05,0,3.87103E-05,12.38091401
0.65,11.1617202,3.96473E-05,8.35326E-05,18.92990671,-5.4972E-06,-4.10305E-06,-2.21207E-05,0,3.95029E-05,12.39467114
0.66,11.35101745,3.96934E-05,8.38514E-05,18.92954257,-5.50329E-06,-4.16072E-06,-2.22701E-05,0,4.03243E-05,12.40835991
0.67,11.54031107,3.97318E-05,8.4187E-05,18.92918336,-5.50968E-06,-4.21912E-06,-2.24135E-05,0,4.11638E-05,12.42197738
0.68,11.72960113,3.97625E-05,8.45325E-05,18.92882993,-5.51619E-06,-4.27788E-06,-2.25503E-05,0,4.2012E-05,12.43550587
0.69,11.91888769,3.97855E-05,8.48816E-05,18.92848229,-5.52266E-06,-4.33667E-06,-2.268E-05,0,4.28606E-05,12.44893193
0.7,12.10817079,3.98009E-05,8.52285E-05,18.92813983,-5.5289E-06,-4.39519E-06,-2.2802E-05,0,4.37014E-05,12.46225804
0.71,12.2974505,3.98088E-05,8.5568E-05,18.92780186,-5.53476E-06,-4.45313E-06,-2.2916E-05,0,4.45275E-05,12.47549877
0.72,12.48672685,3.98091E-05,8.58955E-05,18.92746825,-5.5401E-06,-4.51025E-06,-2.30214E-05,0,4.53328E-05,12.4886678
0.73,12.67599988,3.98019E-05,8.62069E-05,18.92713935,-5.54479E-06,-4.56631E-06,-2.31179E-05,0,4.61124E-05,12.50176834
0.74,12.86526965,3.97872E-05,8.64989E-05,18.92681563,-5.54871E-06,-4.62112E-06,-2.32053E-05,0,4.68626E-05,12.51479413
0.75,13.05453621,3.97651E-05,8.67687E-05,18.92649725,-5.55179E-06,-4.67451E-06,-2.32831E-05,0,4.75807E-05,12.52773812
0.76,13.24379961,3.97357E-05,8.70141E-05,18.92618396,-5.55395E-06,-4.72633E-06,-2.33513E-05,0,4.82646E-05,12.54059995
0.77,13.43305991,3.96989E-05,8.72338E-05,18.92587538,-5.55514E-06,-4.77648E-06,-2.34096E-05,0,4.89128E-05,12.55338637
0.78,13.62231714,3.96549E-05,8.74267E-05,18.92557136,-5.55532E-06,-4.82487E-06,-2.34579E-05,0,4.95248E-05,12.56610566
0.79,13.81157135,3.96037E-05,8.75922E-05,18.925272,-5.55449E-06,-4.87142E-06,-2.34961E-05,0,5.01005E-05,12.57876183
0.8,14.00082259,3.95454E-05,8.77305E-05,18.92497754,-5.55265E-06,-4.91611E-06,-2.35242E-05,0,5.06407E-05,12.59135351
0.81,14.19007092,3.94801E-05,8.78419E-05,18.92468809,-5.54981E-06,-4.95891E-06,-2.35422E-05,0,5.1147E-05,12.60387743
0.82,14.37931637,3.94079E-05,8.79273E-05,18.9244036,-5.546E-06,-4.99983E-06,-2.35502E-05,0,5.16209E-05,12.61633269
0.83,14.568559,3.93289E-05,8.79877E-05,18.92412386,-5.54126E-06,-5.03888E-06,-2.35483E-05,0,5.20645E-05,12.62872207
0.84,14.75779886,3.92432E-05,8.80248E-05,18.92384875,-5.53564E-06,-5.07611E-06,-2.35365E-05,0,5.24802E-05,12.64105001
0.85,14.94703599,3.91508E-05,8.80401E-05,18.92357828,-5.52921E-06,-5.11156E-06,-2.35151E-05,0,5.28704E-05,12.65331948
0.86,15.13627044,3.9052E-05,8.80354E-05,18.92331255,-5.52202E-06,-5.14528E-06,-2.34843E-05,0,5.3238E-05,12.66553065
0.87,15.32550226,3.89469E-05,8.80128E-05,18.92305163,-5.51413E-06,-5.17735E-06,-2.34442E-05,0,5.35859E-05,12.67768206
0.88,15.51473149,3.88356E-05,8.79744E-05,18.92279551,-5.50564E-06,-5.20784E-06,-2.3395E-05,0,5.3917E-05,12.68977277
0.89,15.70395819,3.87182E-05,8.79224E-05,18.92254408,-5.49665E-06,-5.23684E-06,-2.33372E-05,0,5.42342E-05,12.7018036
0.9,15.89318239,3.85949E-05,8.78589E-05,18.92229727,-5.48725E-06,-5.26443E-06,-2.32708E-05,0,5.45403E-05,12.71377654
0.91,16.08240415,3.84659E-05,8.77862E-05,18.92205505,-5.47752E-06,-5.2907E-06,-2.31963E-05,0,5.48382E-05,12.72569324
0.92,16.27162351,3.83312E-05,8.77065E-05,18.92181743,-5.46755E-06,-5.31573E-06,-2.31138E-05,0,5.51303E-05,12.737554
0.93,16.46084051,3.81912E-05,8.76217E-05,18.92158447,-5.4574E-06,-5.33961E-06,-2.30236E-05,0,5.5419E-05,12.74935802
0.94,16.65005521,3.80459E-05,8.75339E-05,18.92135614,-5.44715E-06,-5.36243E-06,-2.29262E-05,0,5.57067E-05,12.76110443
0.95,16.83926765,3.78955E-05,8.74446E-05,18.9211324,-5.43687E-06,-5.38426E-06,-2.28216E-05,0,5.5995E-05,12.7727931
0.96,17.02847787,3.77402E-05,8.73555E-05,18.92091319,-5.42659E-06,-5.40518E-06,-2.27104E-05,0,5.62858E-05,12.78442459
0.97,17.21768593,3.75801E-05,8.7268E-05,18.92069847,-5.41634E-06,-5.42525E-06,-2.25927E-05,0,5.65802E-05,12.79599954
0.98,17.40689186,3.74155E-05,8.71833E-05,18.92048823,-5.40614E-06,-5.44455E-06,-2.24688E-05,0,5.68794E-05,12.80751798
0.99,17.59609571,3.72465E-05,8.71024E-05,18.92028248,-5.396E-06,-5.46312E-06,-2.23391E-05,0,5.71842E-05,12.81897933
1,17.78529752,3.70733E-05,8.7026E-05,18.92008121,-5.38592E-06,-5.48101E-06,-2.22037E-05,0,5.74952E-05,12.83038278
1.01,17.97449735,3.68961E-05,8.6955E-05,18.91988438,-5.37591E-06,-5.49828E-06,-2.2063E-05,0,5.78129E-05,12.84172782
1.02,18.16369522,3.6715E-05,8.68897E-05,18.91969195,-5.36599E-06,-5.51495E-06,-2.19171E-05,0,5.81372E-05,12.85301434
1.03,18.3528912,3.65302E-05,8.68305E-05,18.91950389,-5.35615E-06,-5.53106E-06,-2.17664E-05,0,5.84682E-05,12.86424236
1.04,18.54208532,3.63418E-05,8.67777E-05,18.91932016,-5.3464E-06,-5.54663E-06,-2.1611E-05,0,5.88055E-05,12.87541171
1.05,18.73127762,3.61501E-05,8.67314E-05,18.91914076,-5.33677E-06,-5.56167E-06,-2.14511E-05,0,5.91489E-05,12.88652187
1.06,18.92046815,3.59552E-05,8.66915E-05,18.91896566,-5.32725E-06,-5.5762E-06,-2.1287E-05,0,5.94978E-05,12.89757221
1.07,19.10965694,3.57573E-05,8.6658E-05,18.91879485,-5.31786E-06,-5.59023E-06,-2.11188E-05,0,5.98515E-05,12.90856215
1.08,19.29884406,3.55564E-05,8.66307E-05,18.91862828,-5.30861E-06,-5.60376E-06,-2.09466E-05,0,6.02094E-05,12.91949134
1.09,19.48802952,3.53528E-05,8.66093E-05,18.91846592,-5.29952E-06,-5.61679E-06,-2.07707E-05,0,6.05706E-05,12.93035957
1.1,19.67721339,3.51467E-05,8.65935E-05,18.91830774,-5.29058E-06,-5.62931E-06,-2.05912E-05,0,6.09342E-05,12.94116661
1.11,19.86639569,3.49381E-05,8.65829E-05,18.91815372,-5.2818E-06,-5.64132E-06,-2.04081E-05,0,6.12994E-05,12.95191206
1.12,20.05557648,3.47272E-05,8.65771E-05,18.91800384,-5.27319E-06,-5.6528E-06,-2.02218E-05,0,6.16651E-05,12.96259547
1.13,20.24475578,3.45142E-05,8.65756E-05,18.91785806,-5.26475E-06,-5.66376E-06,-2.00322E-05,0,6.20306E-05,12.97321639
1.14,20.43393365,3.42992E-05,8.6578E-05,18.91771637,-5.25649E-06,-5.67416E-06,-1.98396E-05,0,6.23948E-05,12.98377452
1.15,20.62311012,3.40823E-05,8.65837E-05,18.91757872,-5.24839E-06,-5.68401E-06,-1.9644E-05,0,6.27568E-05,12.99426965
1.16,20.81228524,3.38637E-05,8.65923E-05,18.91744508,-5.24046E-06,-5.69329E-06,-1.94456E-05,0,6.31159E-05,13.00470159
1.17,21.00145904,3.36435E-05,8.66032E-05,18.91731544,-5.2327E-06,-5.70199E-06,-1.92444E-05,0,6.3471E-05,13.01507015
1.18,21.19063156,3.34219E-05,8.6616E-05,18.91718976,-5.22509E-06,-5.71009E-06,-1.90406E-05,0,6.38216E-05,13.02537507
1.19,21.37980285,3.3199E-05,8.66302E-05,18.91706803,-5.21763E-06,-5.71759E-06,-1.88344E-05,0,6.41667E-05,13.03561612
1.2,21.56897293,3.29748E-05,8.66454E-05,18.9169502,-5.21032E-06,-5.72447E-06,-1.86257E-05,0,6.45058E-05,13.04579315
1.21,21.75814186,3.27496E-05,8.66612E-05,18.91683626,-5.20315E-06,-5.73072E-06,-1.84148E-05,0,6.48383E-05,13.05590606
1.22,21.94730967,3.25234E-05,8.6677E-05,18.91672617,-5.19611E-06,-5.73634E-06,-1.82017E-05,0,6.51635E-05,13.06595483
1.23,22.1364764,3.22965E-05,8.66927E-05,18.91661991,-5.18918E-06,-5.74133E-06,-1.79865E-05,0,6.54811E-05,13.07593941
1.24,22.32564208,3.20688E-05,8.67078E-05,18.91651745,-5.18236E-06,-5.74567E-06,-1.77694E-05,0,6.57905E-05,13.08585978
1.25,22.51480676,3.18405E-05,8.67221E-05,18.91641876,-5.17562E-06,-5.74936E-06,-1.75505E-05,0,6.60914E-05,13.0957159
1.26,22.70397047,3.16117E-05,8.67352E-05,18.91632383,-5.16896E-06,-5.75241E-06,-1.73298E-05,0,6.63836E-05,13.10550779
1.27,22.89313325,3.13825E-05,8.6747E-05,18.91623262,-5.16235E-06,-5.75481E-06,-1.71076E-05,0,6.66667E-05,13.11523551
1.28,23.08229514,3.11531E-05,8.67572E-05,18.91614511,-5.15579E-06,-5.75657E-06,-1.68839E-05,0,6.69406E-05,13.12489917
1.29,23.27145616,3.09235E-05,8.67656E-05,18.91606127,-5.14927E-06,-5.75769E-06,-1.66588E-05,0,6.72052E-05,13.13449888
1.3,23.46061637,3.06938E-05,8.67722E-05,18.91598107,-5.14277E-06,-5.75817E-06,-1.64324E-05,0,6.74603E-05,13.14403477
1.31,23.6497758,3.04642E-05,8.67768E-05,18.9159045,-5.13631E-06,-5.75804E-06,-1.62049E-05,0,6.77061E-05,13.15350696
1.32,23.83893448,3.02347E-05,8.67796E-05,18.91583152,-5.1299E-06,-5.75728E-06,-1.59763E-05,0,6.79426E-05,13.1629156
1.33,24.02809244,3.00055E-05,8.67805E-05,18.91576212,-5.12354E-06,-5.75593E-06,-1.57469E-05,0,6.81701E-05,13.17226088
1.34,24.21724973,2.97766E-05,8.67795E-05,18.91569626,-5.11726E-06,-5.75398E-06,-1.55166E-05,0,6.83885E-05,13.18154299
1.35,24.40640638,2.9548E-05,8.6777E-05,18.91563393,-5.11108E-06,-5.75146E-06,-1.52856E-05,0,6.85984E-05,13.19076215
1.36,24.59556242,2.932E-05,8.6773E-05,18.9155751,-5.10501E-06,-5.74838E-06,-1.50541E-05,0,6.87998E-05,13.19991858
1.37,24.78471789,2.90926E-05,8.67676E-05,18.91551974,-5.09909E-06,-5.74476E-06,-1.4822E-05,0,6.8993E-05,13.20901249
1.38,24.97387283,2.88659E-05,8.67612E-05,18.91546783,-5.09333E-06,-5.74061E-06,-1.45897E-05,0,6.91786E-05,13.21804411
1.39,25.16302726,2.864E-05,8.67538E-05,18.91541936,-5.08774E-06,-5.73595E-06,-1.4357E-05,0,6.93564E-05,13.22701368
1.4,25.35218122,2.84149E-05,8.67456E-05,18.91537429,-5.08233E-06,-5.73081E-06,-1.41243E-05,0,6.95271E-05,13.23592144
1.41,25.54133476,2.81908E-05,8.67368E-05,18.9153326,-5.07711E-06,-5.72519E-06,-1.38915E-05,0,6.96909E-05,13.24476765
1.42,25.73048789,2.79677E-05,8.67276E-05,18.91529427,-5.07207E-06,-5.71913E-06,-1.36589E-05,0,6.98478E-05,13.25355256
1.43,25.91964065,2.77457E-05,8.67181E-05,18.91525928,-5.06722E-06,-5.71263E-06,-1.34265E-05,0,6.99985E-05,13.26227641
1.44,26.10879308,2.75249E-05,8.67084E-05,18.91522761,-5.06255E-06,-5.70572E-06,-1.31944E-05,0,7.01429E-05,13.27093946
1.45,26.29794522,2.73053E-05,8.66987E-05,18.91519922,-5.05806E-06,-5.69842E-06,-1.29627E-05,0,7.02814E-05,13.27954193
1.46,26.48709708,2.70871E-05,8.66889E-05,18.91517411,-5.05373E-06,-5.69074E-06,-1.27316E-05,0,7.04141E-05,13.28808409
1.47,26.67624871,2.68702E-05,8.66793E-05,18.91515224,-5.04958E-06,-5.68271E-06,-1.25012E-05,0,7.05413E-05,13.29656618
1.48,26.86540013,2.66548E-05,8.66699E-05,18.9151336,-5.04558E-06,-5.67433E-06,-1.22715E-05,0,7.06631E-05,13.30498843
1.49,27.05455139,2.6441E-05,8.66607E-05,18.91511816,-5.04173E-06,-5.66563E-06,-1.20427E-05,0,7.07795E-05,13.31335108
1.5,27.24370251,2.62287E-05,8.66518E-05,18.9151059,-5.03804E-06,-5.65661E-06,-1.18148E-05,0,7.08909E-05,13.32165436
1.51,27.43285352,2.60181E-05,8.66432E-05,18.91509679,-5.03448E-06,-5.6473E-06,-1.15879E-05,0,7.09972E-05,13.32989848
1.52,27.62200445,2.58092E-05,8.6635E-05,18.91509083,-5.03107E-06,-5.63772E-06,-1.13622E-05,0,7.10985E-05,13.33808367
1.53,27.81115535,2.56021E-05,8.66271E-05,18.91508797,-5.02778E-06,-5.62786E-06,-1.11376E-05,0,7.11951E-05,13.34621014
1.54,28.00030622,2.53968E-05,8.66195E-05,18.91508821,-5.02464E-06,-5.61775E-06,-1.09144E-05,0,7.12868E-05,13.35427808
1.55,28.18945712,2.51933E-05,8.66123E-05,18.91509152,-5.02162E-06,-5.6074E-06,-1.06925E-05,0,7.13738E-05,13.36228771
1.56,28.37860806,2.49918E-05,8.66054E-05,18.91509788,-5.01872E-06,-5.59681E-06,-1.0472E-05,0,7.14561E-05,13.37023922
1.57,28.56775909,2.47922E-05,8.65989E-05,18.91510726,-5.01595E-06,-5.58601E-06,-1.0253E-05,0,7.15337E-05,13.37813278
1.58,28.75691022,2.45946E-05,8.65926E-05,18.91511965,-5.01331E-06,-5.57499E-06,-1.00356E-05,0,7.16068E-05,13.38596858
1.59,28.94606149,2.43991E-05,8.65866E-05,18.91513501,-5.01078E-06,-5.56378E-06,-9.81983E-06,0,7.16753E-05,13.39374679
1.6,29.13521293,2.42056E-05,8.65809E-05,18.91515334,-5.00838E-06,-5.55238E-06,-9.60571E-06,0,7.17393E-05,13.40146759
1.61,29.32436457,2.40143E-05,8.65754E-05,18.91517461,-5.00609E-06,-5.5408E-06,-9.39333E-06,0,7.17988E-05,13.40913112
1.62,29.51351643,2.38251E-05,8.65701E-05,18.9151988,-5.00392E-06,-5.52904E-06,-9.18274E-06,0,7.18538E-05,13.41673757
1.63,29.70266855,2.36381E-05,8.6565E-05,18.91522588,-5.00187E-06,-5.51713E-06,-8.97399E-06,0,7.19044E-05,13.42428706
1.64,29.89182096,2.34534E-05,8.656E-05,18.91525583,-4.99992E-06,-5.50506E-06,-8.76713E-06,0,7.19505E-05,13.43177976
1.65,30.08097368,2.32709E-05,8.65551E-05,18.91528863,-4.99809E-06,-5.49284E-06,-8.5622E-06,0,7.19924E-05,13.43921581
1.66,30.27012674,2.30906E-05,8.65502E-05,18.91532426,-4.99637E-06,-5.48049E-06,-8.35925E-06,0,7.20299E-05,13.44659535
1.67,30.45928017,2.29127E-05,8.65454E-05,18.9153627,-4.99475E-06,-5.46801E-06,-8.15832E-06,0,7.20632E-05,13.45391852
1.68,30.648434,2.2737E-05,8.65406E-05,18.91540393,-4.99323E-06,-5.4554E-06,-7.95944E-06,0,7.20922E-05,13.46118545
