time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0.5,7.82023623,3.77724E-05,8.06686E-05,17.93501333,-5.57126E-06,-3.55813E-06,0,-1.92654E-05,3.53593E-05
0.51,7.999584806,3.79281E-05,8.00132E-05,17.9347024,-5.56465E-06,-3.57121E-06,0,-1.94444E-05,3.46666E-05
0.52,8.178930279,3.80749E-05,7.946E-05,17.93439181,-5.55844E-06,-3.58973E-06,0,-1.96241E-05,3.41753E-05
0.53,8.358272633,3.82129E-05,7.90066E-05,17.93407877,-5.55285E-06,-3.6135E-06,0,-1.98042E-05,3.38715E-05
0.54,8.53761186,3.83422E-05,7.86491E-05,17.93376759,-5.54805E-06,-3.64227E-06,0,-1.99843E-05,3.37423E-05
0.55,8.716948012,3.84627E-05,7.83828E-05,17.93346454,-5.54419E-06,-3.67577E-06,0,-2.0164E-05,3.37753E-05
0.56,8.896281187,3.85747E-05,7.82019E-05,17.93317227,-5.54137E-06,-3.71367E-06,0,-2.0343E-05,3.39581E-05
0.57,9.075611486,3.86781E-05,7.81005E-05,17.93288843,-5.53964E-06,-3.75562E-06,0,-2.05206E-05,3.42763E-05
0.58,9.254938969,3.8773E-05,7.80721E-05,17.93260865,-5.53902E-06,-3.80123E-06,0,-2.06964E-05,3.47136E-05
0.59,9.434263664,3.88595E-05,7.81095E-05,17.93233059,-5.53946E-06,-3.85008E-06,0,-2.08697E-05,3.52535E-05
0.6,9.61358559,3.89377E-05,7.82049E-05,17.93205541,-5.5409E-06,-3.90173E-06,0,-2.10398E-05,3.58802E-05
0.61,9.792904792,3.90076E-05,7.83505E-05,17.93178606,-5.54322E-06,-3.95578E-06,0,-2.12061E-05,3.65801E-05
0.62,9.972221337,3.90693E-05,7.85386E-05,17.93152436,-5.54629E-06,-4.01179E-06,0,-2.13681E-05,3.73401E-05
0.63,10.1515353,3.91229E-05,7.87615E-05,17.93126967,-5.54996E-06,-4.06936E-06,0,-2.1525E-05,3.81477E-05
0.64,10.33084675,3.91684E-05,7.90122E-05,17.93101985,-5.55406E-06,-4.1281E-06,0,-2.16763E-05,3.89902E-05
0.65,10.51015571,3.9206E-05,7.92836E-05,17.93077331,-5.55843E-06,-4.1876E-06,0,-2.18214E-05,3.9855E-05
0.66,10.68946222,3.92356E-05,7.95689E-05,17.93053023,-5.56289E-06,-4.2475E-06,0,-2.19597E-05,4.07313E-05
0.67,10.86876633,3.92574E-05,7.98619E-05,17.930292,-5.56727E-06,-4.30745E-06,0,-2.20907E-05,4.16095E-05
0.68,11.04806808,3.92714E-05,8.01566E-05,17.93005984,-5.57142E-06,-4.36715E-06,0,-2.2214E-05,4.24821E-05
0.69,11.22736755,3.92777E-05,8.04481E-05,17.92983377,-5.57519E-06,-4.42629E-06,0,-2.2329E-05,4.3342E-05
0.7,11.40666478,3.92764E-05,8.07318E-05,17.92961279,-5.57845E-06,-4.48464E-06,0,-2.24354E-05,4.4183E-05
